id,details,org_id,roles
1,"{""email"": ""riveradarryl@example.com"", ""name"": ""Chad Neal"", ""is_enabled"": true}",1,"ADMIN"
2,"{""email"": ""jennifer03@example.com"", ""name"": ""Jonathan Gonzalez"", ""is_enabled"": true}",1,{EMPLOYEE}
3,"{""email"": ""emartin@example.org"", ""name"": ""Billy Cox"", ""is_enabled"": true}",1,{EMPLOYEE}
4,"{""email"": ""bridgetfranklin@example.org"", ""name"": ""Timothy Pope"", ""is_enabled"": true}",1,{EMPLOYEE}
5,"{""email"": ""adamlang@example.net"", ""name"": ""Bobby White"", ""is_enabled"": true}",1,{EMPLOYEE}
6,"{""email"": ""qspencer@example.net"", ""name"": ""Sandra Jackson"", ""is_enabled"": true}",1,{EMPLOYEE}
7,"{""email"": ""dana21@example.org"", ""name"": ""Mark Grant"", ""is_enabled"": true}",1,{EMPLOYEE}
8,"{""email"": ""rebecca67@example.com"", ""name"": ""Thomas Cannon"", ""is_enabled"": true}",1,{EMPLOYEE}
9,"{""email"": ""cassidyklein@example.net"", ""name"": ""Bryce Garcia"", ""is_enabled"": true}",1,{EMPLOYEE}
10,"{""email"": ""millerjennifer@example.org"", ""name"": ""Ralph Malone"", ""is_enabled"": true}",1,{EMPLOYEE}
11,"{""email"": ""bjohnson@example.net"", ""name"": ""Kathleen Holland"", ""is_enabled"": true}",1,{EMPLOYEE}
12,"{""email"": ""andrewpope@example.org"", ""name"": ""Thomas Clark"", ""is_enabled"": true}",1,{EMPLOYEE}
13,"{""email"": ""astone@example.org"", ""name"": ""Patricia Brown"", ""is_enabled"": true}",1,{EMPLOYEE}
14,"{""email"": ""brobinson@example.org"", ""name"": ""Diane Nelson"", ""is_enabled"": true}",1,{EMPLOYEE}
15,"{""email"": ""pattonanthony@example.org"", ""name"": ""Brandon Sherman"", ""is_enabled"": true}",1,{EMPLOYEE}
16,"{""email"": ""njones@example.org"", ""name"": ""Tyler Adams"", ""is_enabled"": true}",1,{EMPLOYEE}
17,"{""email"": ""burnslisa@example.com"", ""name"": ""Natalie Kirby"", ""is_enabled"": true}",1,{EMPLOYEE}
18,"{""email"": ""smithrichard@example.com"", ""name"": ""James Anderson"", ""is_enabled"": true}",1,{EMPLOYEE}
19,"{""email"": ""vicki75@example.com"", ""name"": ""Matthew Brewer"", ""is_enabled"": true}",1,{EMPLOYEE}
20,"{""email"": ""cortezadam@example.com"", ""name"": ""Kimberly Martin"", ""is_enabled"": true}",2,"ADMIN"
21,"{""email"": ""mgreene@example.net"", ""name"": ""Jennifer Brooks"", ""is_enabled"": true}",2,{EMPLOYEE}
22,"{""email"": ""benjaminrichardson@example.com"", ""name"": ""Amanda Harrison"", ""is_enabled"": true}",2,{EMPLOYEE}
23,"{""email"": ""logan92@example.org"", ""name"": ""Brian Lee"", ""is_enabled"": true}",2,{EMPLOYEE}
24,"{""email"": ""amyperez@example.net"", ""name"": ""Kristin Douglas"", ""is_enabled"": true}",2,{EMPLOYEE}
25,"{""email"": ""zcalhoun@example.org"", ""name"": ""Christine Anderson"", ""is_enabled"": true}",2,{EMPLOYEE}
26,"{""email"": ""dwallace@example.com"", ""name"": ""Courtney Terrell"", ""is_enabled"": true}",2,{EMPLOYEE}
27,"{""email"": ""harrisjesse@example.com"", ""name"": ""James Richards"", ""is_enabled"": true}",2,{EMPLOYEE}
28,"{""email"": ""daisy58@example.net"", ""name"": ""Rebecca Smith"", ""is_enabled"": true}",2,{EMPLOYEE}
29,"{""email"": ""waynesims@example.net"", ""name"": ""Linda Schmitt"", ""is_enabled"": true}",2,{EMPLOYEE}
30,"{""email"": ""ocosta@example.com"", ""name"": ""Craig Munoz"", ""is_enabled"": true}",2,{EMPLOYEE}
31,"{""email"": ""xwillis@example.org"", ""name"": ""Shelly Sampson"", ""is_enabled"": true}",2,{EMPLOYEE}
32,"{""email"": ""amanda61@example.net"", ""name"": ""Emily Palmer"", ""is_enabled"": true}",2,{EMPLOYEE}
33,"{""email"": ""joseph95@example.net"", ""name"": ""Brianna Stewart"", ""is_enabled"": true}",2,{EMPLOYEE}
34,"{""email"": ""amywebb@example.net"", ""name"": ""Robert Larsen"", ""is_enabled"": true}",2,{EMPLOYEE}
35,"{""email"": ""twright@example.net"", ""name"": ""Jacob Collins"", ""is_enabled"": true}",2,{EMPLOYEE}
36,"{""email"": ""jwatson@example.net"", ""name"": ""Jeffrey Jones"", ""is_enabled"": true}",2,{EMPLOYEE}
37,"{""email"": ""wirwin@example.com"", ""name"": ""Robert Bryant"", ""is_enabled"": true}",3,"ADMIN"
38,"{""email"": ""timothyanderson@example.com"", ""name"": ""Aaron Daniels"", ""is_enabled"": true}",3,"ADMIN"
39,"{""email"": ""barajaschristopher@example.com"", ""name"": ""John Price"", ""is_enabled"": true}",3,{EMPLOYEE}
40,"{""email"": ""burnsaustin@example.org"", ""name"": ""Elizabeth Friedman"", ""is_enabled"": true}",3,{EMPLOYEE}
41,"{""email"": ""iterry@example.com"", ""name"": ""Kristen Browning"", ""is_enabled"": true}",3,{EMPLOYEE}
42,"{""email"": ""triciarichmond@example.net"", ""name"": ""Lindsey Zhang"", ""is_enabled"": true}",3,{EMPLOYEE}
43,"{""email"": ""armstrongshannon@example.com"", ""name"": ""Christopher Edwards"", ""is_enabled"": true}",3,{EMPLOYEE}
44,"{""email"": ""daniel32@example.net"", ""name"": ""Tina Campbell"", ""is_enabled"": true}",3,{EMPLOYEE}
45,"{""email"": ""brettperry@example.net"", ""name"": ""Justin Cooley"", ""is_enabled"": true}",3,{EMPLOYEE}
46,"{""email"": ""kristenmcintyre@example.net"", ""name"": ""Hannah Lopez"", ""is_enabled"": true}",3,{EMPLOYEE}
47,"{""email"": ""jessica92@example.com"", ""name"": ""Sharon Miller"", ""is_enabled"": true}",3,{EMPLOYEE}
48,"{""email"": ""elliottpaul@example.org"", ""name"": ""Brooke Lutz"", ""is_enabled"": true}",3,{EMPLOYEE}
49,"{""email"": ""uwinters@example.org"", ""name"": ""Anthony Johnson"", ""is_enabled"": true}",3,{EMPLOYEE}
50,"{""email"": ""xnorris@example.net"", ""name"": ""Nicholas Howard"", ""is_enabled"": true}",3,{EMPLOYEE}
51,"{""email"": ""olivia87@example.org"", ""name"": ""Kelly Cooke"", ""is_enabled"": true}",3,{EMPLOYEE}
52,"{""email"": ""frankmichele@example.org"", ""name"": ""Allison Perkins"", ""is_enabled"": true}",3,{EMPLOYEE}
53,"{""email"": ""rossalexis@example.org"", ""name"": ""Tammy Bond"", ""is_enabled"": true}",3,{EMPLOYEE}
54,"{""email"": ""michelemoore@example.org"", ""name"": ""Wayne Mckinney"", ""is_enabled"": true}",3,{EMPLOYEE}
55,"{""email"": ""alexander04@example.net"", ""name"": ""Mathew Russell"", ""is_enabled"": true}",3,{EMPLOYEE}
56,"{""email"": ""brandonmarshall@example.net"", ""name"": ""Sarah Carroll"", ""is_enabled"": true}",3,{EMPLOYEE}
57,"{""email"": ""qpowell@example.org"", ""name"": ""Michele Miller"", ""is_enabled"": true}",3,{EMPLOYEE}
58,"{""email"": ""camposalexis@example.net"", ""name"": ""Deanna Fuller"", ""is_enabled"": true}",3,{EMPLOYEE}
59,"{""email"": ""bhorton@example.net"", ""name"": ""Raymond Miller"", ""is_enabled"": true}",3,{EMPLOYEE}
60,"{""email"": ""ricardowhite@example.org"", ""name"": ""Cassandra Clark"", ""is_enabled"": true}",3,{EMPLOYEE}
61,"{""email"": ""gtaylor@example.net"", ""name"": ""Christopher Browning"", ""is_enabled"": true}",3,{EMPLOYEE}
62,"{""email"": ""matthew48@example.com"", ""name"": ""Mrs. Vickie Turner"", ""is_enabled"": true}",3,{EMPLOYEE}
63,"{""email"": ""umorrison@example.com"", ""name"": ""Patricia Smith"", ""is_enabled"": true}",3,{EMPLOYEE}
64,"{""email"": ""lisastewart@example.com"", ""name"": ""Erik Garcia"", ""is_enabled"": true}",3,{EMPLOYEE}
65,"{""email"": ""barbararussell@example.net"", ""name"": ""Melissa Jones"", ""is_enabled"": false}",3,{EMPLOYEE}
66,"{""email"": ""dennismurray@example.net"", ""name"": ""Michael Choi"", ""is_enabled"": true}",4,"ADMIN"
67,"{""email"": ""mooredaisy@example.net"", ""name"": ""Michael Owen"", ""is_enabled"": true}",4,"ADMIN"
68,"{""email"": ""zacharycunningham@example.com"", ""name"": ""Jose Lee"", ""is_enabled"": true}",4,"ADMIN"
69,"{""email"": ""mathew97@example.org"", ""name"": ""John Dean"", ""is_enabled"": true}",4,{EMPLOYEE}
70,"{""email"": ""christopherlin@example.net"", ""name"": ""Karen Nolan"", ""is_enabled"": true}",4,{EMPLOYEE}
71,"{""email"": ""suzanne16@example.net"", ""name"": ""Matthew Li"", ""is_enabled"": true}",4,{EMPLOYEE}
72,"{""email"": ""ncarpenter@example.org"", ""name"": ""Matthew Bowen"", ""is_enabled"": true}",4,{EMPLOYEE}
73,"{""email"": ""hunterpamela@example.com"", ""name"": ""Stacy Richardson"", ""is_enabled"": true}",4,{EMPLOYEE}
74,"{""email"": ""oharvey@example.net"", ""name"": ""Andrea Huff"", ""is_enabled"": true}",4,{EMPLOYEE}
75,"{""email"": ""clarkandrea@example.com"", ""name"": ""Yesenia Harding"", ""is_enabled"": true}",4,{EMPLOYEE}
76,"{""email"": ""jenniferjohnson@example.com"", ""name"": ""Jeremy Jackson"", ""is_enabled"": true}",4,{EMPLOYEE}
77,"{""email"": ""nashsusan@example.org"", ""name"": ""Holly Johnson"", ""is_enabled"": true}",4,{EMPLOYEE}
78,"{""email"": ""toddwoods@example.org"", ""name"": ""Kenneth Hudson"", ""is_enabled"": true}",4,{EMPLOYEE}
79,"{""email"": ""christopher99@example.net"", ""name"": ""Robert Jones"", ""is_enabled"": true}",4,{EMPLOYEE}
80,"{""email"": ""rebecca65@example.net"", ""name"": ""Brent Pollard"", ""is_enabled"": true}",4,{EMPLOYEE}
81,"{""email"": ""ubrooks@example.com"", ""name"": ""Lorraine Lewis DVM"", ""is_enabled"": true}",4,{EMPLOYEE}
82,"{""email"": ""rmann@example.com"", ""name"": ""Tara Caldwell"", ""is_enabled"": true}",4,{EMPLOYEE}
83,"{""email"": ""longjohn@example.org"", ""name"": ""Mr. Manuel Greene"", ""is_enabled"": true}",4,{EMPLOYEE}
84,"{""email"": ""kleinmichelle@example.com"", ""name"": ""Erin Graham"", ""is_enabled"": true}",4,{EMPLOYEE}
85,"{""email"": ""sanchezmatthew@example.net"", ""name"": ""Jeffrey Zuniga"", ""is_enabled"": true}",4,{EMPLOYEE}
86,"{""email"": ""timothyluna@example.com"", ""name"": ""William Harris"", ""is_enabled"": true}",4,{EMPLOYEE}
87,"{""email"": ""sabrinaboyd@example.org"", ""name"": ""Brittany Baker"", ""is_enabled"": true}",4,{EMPLOYEE}
88,"{""email"": ""brownmark@example.com"", ""name"": ""Jessica Edwards"", ""is_enabled"": true}",4,{EMPLOYEE}
89,"{""email"": ""yatesjeffrey@example.com"", ""name"": ""Gabriela Newman"", ""is_enabled"": true}",4,{EMPLOYEE}
90,"{""email"": ""xjohnson@example.net"", ""name"": ""Stephanie Valdez"", ""is_enabled"": true}",4,{EMPLOYEE}
91,"{""email"": ""michaelajohnson@example.org"", ""name"": ""Alexander Rosario"", ""is_enabled"": true}",4,{EMPLOYEE}
92,"{""email"": ""singhstephen@example.net"", ""name"": ""Heather Day"", ""is_enabled"": true}",4,{EMPLOYEE}
93,"{""email"": ""dreed@example.net"", ""name"": ""Lauren Green"", ""is_enabled"": true}",4,{EMPLOYEE}
94,"{""email"": ""makayla27@example.com"", ""name"": ""Robert Hendrix"", ""is_enabled"": true}",4,{EMPLOYEE}
95,"{""email"": ""hstevens@example.com"", ""name"": ""Stephen Figueroa"", ""is_enabled"": true}",4,{EMPLOYEE}
96,"{""email"": ""grant48@example.org"", ""name"": ""Pamela Guzman"", ""is_enabled"": true}",4,{EMPLOYEE}
97,"{""email"": ""frederickvega@example.net"", ""name"": ""Katie Wilkinson"", ""is_enabled"": true}",4,{EMPLOYEE}
98,"{""email"": ""taylorkristen@example.net"", ""name"": ""John Reilly"", ""is_enabled"": false}",4,{EMPLOYEE}
99,"{""email"": ""duartebryce@example.org"", ""name"": ""Jessica Smith"", ""is_enabled"": true}",5,"ADMIN"
100,"{""email"": ""dcarter@example.org"", ""name"": ""Jacob Leach"", ""is_enabled"": true}",5,"ADMIN"
101,"{""email"": ""clarktoni@example.net"", ""name"": ""Kimberly Scott"", ""is_enabled"": true}",5,{EMPLOYEE}
102,"{""email"": ""grahamjames@example.com"", ""name"": ""Brandon Parker"", ""is_enabled"": true}",5,{EMPLOYEE}
103,"{""email"": ""bclark@example.org"", ""name"": ""Jack Jones"", ""is_enabled"": true}",5,{EMPLOYEE}
104,"{""email"": ""robyn65@example.net"", ""name"": ""Christopher Little"", ""is_enabled"": true}",5,{EMPLOYEE}
105,"{""email"": ""rachelhoward@example.com"", ""name"": ""Danny Fritz"", ""is_enabled"": true}",5,{EMPLOYEE}
106,"{""email"": ""danadavis@example.org"", ""name"": ""Stephen Chapman"", ""is_enabled"": true}",5,{EMPLOYEE}
107,"{""email"": ""pateljordan@example.org"", ""name"": ""Craig Adams"", ""is_enabled"": true}",5,{EMPLOYEE}
108,"{""email"": ""mark27@example.com"", ""name"": ""Tracy Ford"", ""is_enabled"": true}",5,{EMPLOYEE}
109,"{""email"": ""ashleylewis@example.net"", ""name"": ""Monica Hernandez"", ""is_enabled"": true}",5,{EMPLOYEE}
110,"{""email"": ""cindystewart@example.net"", ""name"": ""Christopher Mckay"", ""is_enabled"": true}",5,{EMPLOYEE}
111,"{""email"": ""ferrellmichael@example.net"", ""name"": ""Darrell Brown"", ""is_enabled"": true}",5,{EMPLOYEE}
112,"{""email"": ""michaelmoore@example.net"", ""name"": ""Katherine Jackson"", ""is_enabled"": true}",5,{EMPLOYEE}
113,"{""email"": ""lturner@example.com"", ""name"": ""David Bush"", ""is_enabled"": true}",5,{EMPLOYEE}
